ID	content	Câu hỏi/External ID
utc2_a_16	 3. bạn đăng ký ở phòng 9 nhà d3 đóng 30.000 vnđ nhé.	__import__.utc2_q_16
utc2_a_17	" 4. tuần sau phòng đào tạo sẽ ra thông báo điều kiện nhận đồ án cho các khóa, bạn căn các điều kiện trong thông báo để thực hiện nhé."	__import__.utc2_q_17
utc2_a_18	" 5. nổ lực lên bạn, có lẽ sẽ phải cải thiện nhiều môn đấy ạ, chứ phụ thuộc vào đồ án để mong được loại khá ở mức này là không thể ạ."	__import__.utc2_q_18
utc2_a_19	" 6. chương trình đào tạo ghi trong niên giám đấy ạ, phòng đào tạo xây dựng kế hoạch năm học và bố trí môn đăng ký đều căn cứ theo chương trình bạn nhé. các bạn đăng ký cần chú ý tìm hiểu để đăng ký một cách phù hợp logic nhé."	__import__.utc2_q_19
utc2_a_20	 7. không bạn nhé.	__import__.utc2_q_20
utc2_a_21	 8. được bạn nhé.	__import__.utc2_q_21
utc2_a_22	" 9. bạn liên hệ bộ phận hỗ trợ sinh viên văn phòng đoàn trường nhé,"	__import__.utc2_q_22
utc2_a_23	" 10. không bị cảnh báo học tập nhưng bạn sẽ không được đánh giá mà theo quy định là loại kém, mà thêm 1 lần vậy nữa là bị đình chỉ 1 năm đấy ạ. ngoài ra khi ra trường bảng điểm của bạn sẽ không có điểm học kỳ này, đánh giá kém, rất khó khăn đấy ạ."	__import__.utc2_q_23
utc2_a_24	" 11. cảm ơn bạn, ad ra đường toàn bị gọi là chú ko à, bạn làm ad thấy mình trẻ bất ngờ đấy ạ :). văn phòng đoàn nhận hồ sơ thường xuyên đấy ạ, bạn cứ đăng ký học đủ tuổi thì thi thôi ạ."	__import__.utc2_q_24
utc2_a_25	" 12. chắc lỗi gì thôi ạ, bạn lên phòng 5 nhà d3 hỏi trực tiếp để được được tư vấn và cấp bảng điểm nhé."	__import__.utc2_q_25
utc2_a_26	 1. inbox đi các bạn	__import__.utc2_q_26
utc2_a_27	" 2. 3. và 4. các bạn thân mến, phòng đào tạo đã trình ban giám đốc để xin ý kiến chỉ đạo, căn cứ vào tình hình về giảng viên, phòng học, kế hoạch đào tạo chung... sẽ ra quyết định, hiện phòng đào tạo rất quan tâm đến vấn đề này nên các bạn yên tâm là nhận được chỉ đạo sẽ có thông báo trên website liền ạ."	__import__.utc2_q_27
utc2_a_28	 1. nhà trường cũng đang từng bước để bổ sung và thay thế máy chiếu cũ vì số lượng máy chiếu của phân hiệu hiện nay rất nhiều (tất cả các phòng học đều trang bị máy chiếu).	__import__.utc2_q_28
utc2_a_29	" 2. giá vé xe vẫn giữ nguyên, không có thay đổi."	__import__.utc2_q_29
utc2_a_30	 ad: bạn nào có lớp rồi cho bạn ấy ké với ạ :)	__import__.utc2_q_30
utc2_a_31	" 1. thường thì sẽ học giáo dục thể chất, toán, lý, hóa, anh văn, triết học... bạn nhé."	__import__.utc2_q_31
utc2_a_32	" 2. vấn đề này bạn trao đổi với phòng 10 nhà d3 để được hướng dẫn cụ thể nhé, có 1 tiết cuối thôi thì cũng không sao ạ."	__import__.utc2_q_32
utc2_a_33	" 3. bạn không nêu cụ thể giảng viên nào nên ad cũng không có phương án để hỗ trợ ạ, ad các bạn cũng nên mạnh dạn trao đổi với giảng viên đi ạ."	__import__.utc2_q_33
utc2_a_34	" 4. hiện các bạ khóa 60 chưa vào được hệ thống này đâu ạ, tuần sau bạn vào lại nhé."	__import__.utc2_q_34
utc2_a_35	" 5. ad đã chuyển cho trung tâm thông tin thư viện để rà soát lại, nhưng bạn không ghi cụ thể môn nào nên cũng hơi khó ạ, vì không phải môn nào nhu cầu về giáo trình cũng cao ạ."	__import__.utc2_q_35
utc2_a_36	 6. nhà trường cấp giấy xác nhận sinh viên để các bạn gửi về địa phương cho ngân hàng chính sách xã hội để vay vốn ạ. bạn đăng ký ở mục dịch vụ công hoặc nếu là k60 thì liên hệ phòng 6 nhà d3 nhé.	__import__.utc2_q_36
utc2_a_37	 7. khaongr 15/09 thi đầu vào anh văn cho k60 xong sẽ tổ chức thi a2 tự do bạn nhé.	__import__.utc2_q_37
utc2_a_38	 ad: ad đã chuyển phòng thiết bị - quản trị và nhận được câu trả lời như sau:	__import__.utc2_q_38
utc2_a_39	" ad: ban quản lý ktx trả lời như sau: nếu có như phản ảnh của bạn, chúng tôi xin lỗi về sự chậm trễ này!"	__import__.utc2_q_39
utc2_a_40	" 1. khó rồi đấy ạ, bạn thử lên phòng 10 d3 hỏi trực tiếp nhé"	__import__.utc2_q_40
utc2_a_41	 2. phải trả nợ xong thể dục mới được nhận bằng bạn nhé.	__import__.utc2_q_41
utc2_a_42	" 3. còn phải xem thời gian trả được nợ của bạn cách ngày cho phép được bảo vệ bao nhiêu nữa ạ. nổ lực lên bạn, cứ trả nợ hết mình đi ạ."	__import__.utc2_q_42
utc2_a_43	 4. nếu bạn là khóa 60 mà nộp giấy khai sinh gốc thì lên phòng 6 nhà d3 mà nhận nhé.	__import__.utc2_q_43
utc2_a_44	 5. cuộc thi này do đoàn thanh niên tổ chức nên bạn liên hệ văn phòng đoàn trường nhé.	__import__.utc2_q_44
utc2_a_45	 6. theo thông báo 662/tb-ctct&amp;sv ngày 16/08/2019 của trường ta (căn cứ nghị định 86/2015/nđ-cp) hộ cận nghèo và phải là đồng bào dân tộc thiểu số mới được miễn hoàn toàn học phí. còn giảm 70% là cho đồng bào dân tộc thiểu số ở vùng kinh tế đặc biệt khó khăn bạn nhé. hộ nghèo và cận nghèo chỉ được miễn giảm ở bậc thpt thôi bạn nhé.	__import__.utc2_q_45
utc2_a_46	 ad: phòng đào tạo trả lời:	__import__.utc2_q_46
utc2_a_47	 ad: inbox nhiệt tình đi ạ	__import__.utc2_q_47
utc2_a_48	" 1. email sinh viên là do nhà trường cấp cú pháp là:  ""mã số sinh viên""@st.utc2.edu.vn pass: ngày/tháng/năm sinh"	__import__.utc2_q_48
utc2_a_49	" 2. không bạn nhé, đây là môn học tính vào điểm tích lũy nên ko thi tự do, tuy nhiên cho phép nộp chứng chỉ quốc tế thay thế."	__import__.utc2_q_49
utc2_a_50	 3. được bạn nhé.	__import__.utc2_q_50
utc2_a_51	" 4. thì phải hủy 1 môn rồi, bạn trao đổi với phòng 10 nhà d3 để hiểu rõ hơn nhé."	__import__.utc2_q_51
utc2_a_52	" 5. chưa bạn nhé, phải đánh giá rèn luyện xong đã bạn, riền phòng đào tạo mới xét."	__import__.utc2_q_52
utc2_a_53	" 6. bạn đăng ký đi ạ, tùy môn và tùy số lượng giảng viên có chứng chỉ giảng dạy thì trung tâm mới bố trí bạn nhé."	__import__.utc2_q_53
utc2_a_54	" 7. tình hình chung chỉ có các ngành khác mới chuyển về kỹ thuật xây dựng công trình giao thông, thông qua lớp cầu đường anh thôi, còn muốn chuyển ngành khác thì hiện chưa có cách nào. nhà trường cho phép học song song hai ngành đấy bạn, bạn nghiên cứu xem sao nhé."	__import__.utc2_q_54
utc2_a_55	 ad: phòng tổ chức - hành chính quản lý bộ phận y tế trường trả lời như sau:	__import__.utc2_q_55
utc2_a_56	 1. bạn lên văn phòng đoàn liên hệ bộ phận hỗ trợ sinh viên đễ được giải quyết nhé.	__import__.utc2_q_56
utc2_a_57	" 2. trên cả nước có 8 trung tâm được bộ giáo dục công nhận chứng chỉ b1 đạt chuẩn để nhằm mục đích thay thế các chứng chỉ b1 cấp theo chương trình đào tạo của các trường. ở khu vực phía nam chỉ có trường đại học sư phạm thành phố hồ chí minh là nằm trong danh sách 8 trung tâm được công nhận nói trên bạn nhé. ngoài ra các chứng chỉ quốc tế thay thế như toeic,toefl, ielts đều được nhưng phải nằm trong bảng điểm quy đổi tương ứng và phải do các trung tâm chuẩn quốc tế cấp mới được."	__import__.utc2_q_57
utc2_a_58	" 3. về nguyên tắc sẽ hủy lớp nhưng bạn có nhu cầu thì làm đơn gửi phòng 10 nhà d3 nhà trường sẽ cân nhắc mở lớp thôi ạ, nhưng học phí sẽ cao bạn nhé."	__import__.utc2_q_58
utc2_a_59	 4. bạn chỉ cần đóng thêm cho đủ thôi chứ không phải loại khoản 3 triệu đó ra ạ.  còn vấn đề đăng ký thì tới thời gian đăng ký nhà trường mở hệ thống các bạn sẽ vào được thôi ạ.	__import__.utc2_q_59
utc2_a_60	 5. bạn yên tâm ad chuyển bộ phận điểm rồi có phản hồi ngay đấy ạ.	__import__.utc2_q_60
utc2_a_61	" 6. chắc do nhầm lẫn thôi ạ, bạn lên phòng 5 nhà d3 đễ được hỗ trợ kịp thời hoặc nhắn cho ad các tên và mã số sv ad gửi phòng điểm nhé."	__import__.utc2_q_61
utc2_a_62	 ad: đăng ký đi các bạn	__import__.utc2_q_62
utc2_a_63	 1. vấn đề này bạn phải trao đổi với trung tâm đào tạo thực hành và chuyển giao công nghệ gtvt nhà e7 để được hỗ trợ nhé.  p/s: sao bạn biết ad là nam mà khen đẹp trai biết đâu ad là nữ hoặc ở giữa thì sao :)	__import__.utc2_q_63
utc2_a_64	 2. bạn đăng ký thi tại văn phòng đoàn trường nhà e1 nhé.	__import__.utc2_q_64
utc2_a_65	 3. bạn liên hệ bộ phân hỗ trợ sinh viên đóng tại văn phòng đoàn trường nhà e1 để được nhận giấy này nhé.	__import__.utc2_q_65
utc2_a_66	 4. tuần sau có thông báo rồi bạn nhé.	__import__.utc2_q_66
utc2_a_67	" 1. và 2. các bạn liên hệ trung tâm đào tạo thực hành và chuyển giao công nghệ gtvt nhà e7 nhé, cứ khoảng 20 người sẽ mở lớp thôi ạ."	__import__.utc2_q_67
utc2_a_68	 3. bạn lên phòng 6 nhà d3 xin nhé	__import__.utc2_q_68
utc2_a_69	" 4. do cách điều chỉnh điều hòa thôi ạ, phòng thiết bị - quản trị kiểm tra thường xuyên, máy móc ổn cả, hôm bữa học chính trị lạnh teo các bạn còn yêu cầu tắt đi đấy ạ."	__import__.utc2_q_69
utc2_a_70	" ad: có hết giấy xác nhận sinh viên ở văn phòng đoàn trường bộ phận hỗ trợ sinh viên phát nhé, in là chắc rồi nhưng check sót phản hồi trên email thôi. bạn yên tâm nhé :)"	__import__.utc2_q_70
utc2_a_71	 2. khóa 58 không thay đổi quy tắc tính điểm e nhé	__import__.utc2_q_71
utc2_a_72	 3. em vào kiểm tra tài khoản cá nhân em nhé	__import__.utc2_q_72
utc2_a_73	 3. em vào kiểm tra tài khoản cá nhân em nhé	__import__.utc2_q_73
utc2_a_74	" 1. hai năm hội trại truyền thống mới tổ chức 1 lần, năm rồi cực kỳ vui và hoành tráng vào tháng 4/2018, thì phải đến 04/2020 mới lại tổ chức bạn ạ. các câu lạc bộ đội nhóm cũng hay tổ chức hội trại hàng năm bạn xem có tham gia được không nhé."	__import__.utc2_q_74
utc2_a_75	 2. rút sổ đoàn lên văn phòng đoàn trường nhà e1 nha bạn.	__import__.utc2_q_75
utc2_a_76	" 1. điều kiện là phải có bằng đại học bạn nhé, còn lại nộp hồ sơ theo thông báo và đóng phí dự thi, nếu trái ngành trước đây thì học chuyển đổi thi xong mới được thi cao học. liên hệ phòng 105 nhà c3, tầng trệt thư viện - phòng khảo thí và đảm bảo chất lượng, để được hướng dẫn cụ thể nhé."	__import__.utc2_q_76
utc2_a_77	" 2. học vượt thì cứ đăng ký nhiều môn nhiều chỉ lên là được thôi ạ, nhưng phải xem đợt đăng ký có nhiều môn không và bạn có đủ sức để học không thôi ạ."	__import__.utc2_q_77
utc2_a_78	 3. bạn đã học rồi thì liên hệ phòng 9 nhà d3 để nhận nhé.	__import__.utc2_q_78
utc2_a_79	" 4. các môn bổ trợ mà bạn hỏi có phải là các chương trình đào tạo ngắn hạn không ạ, nếu đúng vậy thì bạn liên hệ trung tâm đào tạo thực hành và chuyển giao công nghệ, nhà e7 để đăng ký học nhé. về ngoại ngữ thì bạn phải thi đầu vào mới được xếp lớp sau đó mới đóng tiền nhé."	__import__.utc2_q_79
utc2_a_80	" 6. nhà trường rất tạo điều kiện thôi, nhưng phải bố trí được thì mới tổ chức học được bạn nhé. các bạn phải đeo bám phòng 10 nhà d3 thôi ạ, không còn cách nào khác. chúc các bạn may mắn."	__import__.utc2_q_80
utc2_a_81	" 1. để giải quyết phần nào khó khăn về chỗ ở cho các bạn sinh viên thuộc diện gia đình khó khăn, gia đình chính sách (có đơn xác nhận của cơ quan chức năng), bql ktx cũng đã duyệt bổ sung thêm một số trường hợp."	__import__.utc2_q_81
utc2_a_82	" 2. hiện nay số chỗ trong ktx đã hết. những chỗ còn trống là do các bạn chưa vào làm thủ tục nhận chỗ. chúng tôi đang liên hệ các bạn đã đăng ký nhưng chưa nhận chỗ, xem các bạn có nhu cầu ở nội trú nữa không? nếu các bạn đó không có nhu cầu, chúng tôi sẽ làm thủ tục chuyển cho các bạn khác. nếu có nhu cầu ở nội trú, các bạn có thể liên hệ bql ktx, gởi lại số điện thoại. khi có sinh viên nào chuyển ra ngoài hoặc không vào ở nội trú nữa, chúng tôi sẽ giới thiệu cho các bạn, theo thứ tự trước sau. trân trọng trả lời cùng các bạn!"	__import__.utc2_q_82
utc2_a_83	" 2. hiện nay số chỗ trong ktx đã hết. những chỗ còn trống là do các bạn chưa vào làm thủ tục nhận chỗ. chúng tôi đang liên hệ các bạn đã đăng ký nhưng chưa nhận chỗ, xem các bạn có nhu cầu ở nội trú nữa không? nếu các bạn đó không có nhu cầu, chúng tôi sẽ làm thủ tục chuyển cho các bạn khác. nếu có nhu cầu ở nội trú, các bạn có thể liên hệ bql ktx, gởi lại số điện thoại. khi có sinh viên nào chuyển ra ngoài hoặc không vào ở nội trú nữa, chúng tôi sẽ giới thiệu cho các bạn, theo thứ tự trước sau. trân trọng trả lời cùng các bạn!"	__import__.utc2_q_83
utc2_a_84	" 1. có lẽ do không bố trí được thôi ạ, nếu có 6 người các bạn có thể nộp đơn xin đóng đủ số lượng tiền học phí theo quy định về phòng 10 nhà d3 xem sao ạ."	__import__.utc2_q_84
utc2_a_85	" 2. bạn không đủ điều kiện sẽ không được xét tốt nghiệp nên tiền sẽ được trả lại thôi ạ, liên hệ phòng 10 để được biết thêm chi tiết nhé."	__import__.utc2_q_85
utc2_a_86	 3. giúp bạn ấy đi các bạn.	__import__.utc2_q_86
utc2_a_87	 4. không được tính thêm môn học lại để xét học bổng nhưng nếu bạn rớt là khỏi xét hb luôn nhé.	__import__.utc2_q_87
utc2_a_88	" 5. không thấy phản hồi hoặc thông báo gì là ko được rồi, muốn rõ hơn bạn phải liên hệ lại phòng 10 thôi ạ."	__import__.utc2_q_88
utc2_a_89	" 6. ad ko biết hồi đáp bạn cách nào nếu ko đăng ạ, fanpage chỉ nhận ý kiến ko biết nó gửi từ đâu đâu ạ. về trường hợp này ad trả lời là tính điểm qua nhé, nếu ko thấy tích lũy nhúc nhíc thì trao đổi với phòng 5 nhà d3 nhé."	__import__.utc2_q_89
utc2_a_90	" 7. bộ phận này làm theo năm học nhé, hiện đang làm việc từ thứ 2 - thứ 6 tại văn phòng đoàn trường bạn nhé."	__import__.utc2_q_90
utc2_a_91	" 8. trích sổ tay sv khóa 59 điều 17 khoản2. trang 25: ""điều kiện để học cùng lúc hai chương trình: a. ngành đào tạo chính ở chương trình thứ hai phải khác ngành đào tạo chính ở chương trình thứ nhất; b. sau khi đã kết thúc học kỳ thứ nhất năm học đầu tiên của chương trình thứ nhất và sinh viên không thuộc diện xếp hạng học lực yếu; c. trong quá trình sinh viên học cùng lúc hai chương trình, nếu điểm trung bình chung học kỳ đạt dưới 2,00 thì phải dừng học thêm chương trình thứ hai ở học kỳ tiếp theo."""	__import__.utc2_q_91
utc2_a_92	 9. đã chia thì sẽ được học chứ ạ	__import__.utc2_q_92
utc2_a_93	 10. lấy điểm lần 1 bạn nhé.	__import__.utc2_q_93
utc2_a_94	 11. bạn liên hệ thẳng phòng 10 nhà d3 nhé.	__import__.utc2_q_94
utc2_a_95	" 12. xin trực tiếp giảng viên giảng dạy, hoặc phòng 9 nhà d3 gặp thầy phó phòng đào tạo nếu có lý do chính đáng nhé."	__import__.utc2_q_95
utc2_a_96	" 1. bạn phải lên xin thôi, liên hệ phòng 9 nhà d3 gặp thầy nhã - phó trưởng phòng đào tạo, làm đơn trình bày lý do để được xem xét nhé."	__import__.utc2_q_96
utc2_a_97	" 2. xét học bạn là ngành kỹ thuật xây dựng công trình giao thông rồi, cứ theo lịch ngành này mà học nha bạn, lên phòng 10 nhà d3 hỏi về việc bổ sung tên của các bạn vào danh sách này nhé."	__import__.utc2_q_97
utc2_a_98	 3. bạn lên phòng 6 nhà d3 để nộp nhé.	__import__.utc2_q_98
utc2_a_99	" 4. và 5. các bạn liên hệ trung tâm đào tạo thực hành nhà e7 để hỏi nhé, còn việc chưa thông báo ngành ktxdctgt thì chưa bố trí được thôi ạ, sẽ có thông báo sau chứ không sót đâu ạ."	__import__.utc2_q_99
utc2_a_100	 6. buổi chiều từ 13h00 đến 17h30 bạn nhé.	__import__.utc2_q_100
utc2_a_101	 7. bạn cứ chú ý xem thông báo hoặc trực tiếp hỏi các bạn bên đoàn vaani tải kinh tê rồi mạnh dạn tham dự nhé ad nghĩ là được hết thôi ạ.	__import__.utc2_q_101
utc2_a_102	" 8. bạn làm theo hướng dẫn của thầy dạy quốc phòng nhé, trao đổi trực tiếp với thầy để biết kế hoạch của những buổi tiếp theo nhé."	__import__.utc2_q_102
utc2_a_103	 1. bạn nộp giấy tờ về phòng 9 nhà d3 bạn nhé.	__import__.utc2_q_103
utc2_a_104	 2. vẫn mượn sách bình thường bạn nhé.	__import__.utc2_q_104
utc2_a_105	" 3. đi khám đi bạn hôm nào cũng được miễn là trong lịch, nó tốt cho các bạn mà, còn nếu khó khăn về mặt thời gian thì nộp giấy đó bạn nhé."	__import__.utc2_q_105
utc2_a_106	 4. bạn nộp ở phòng 6 nhà d3 nhé	__import__.utc2_q_106
utc2_a_107	" 1. và 2. các bạn thân mến ad rất tiếc vì các bạn đã viết lên đây thì các bạn chắc chắn còn muốn học tại trường và muốn có thêm cơ hội. tuy nhiên, không thể học tiếp hệ chính quy thôi ạ, các bạn có thể chờ thông báo chuyển hệ để đăng ký lớp vừa làm vừa học ạ. hy vọng các bạn nghiêm túc với bản thân và nỗ lực để thành công trong tương lai ạ."	__import__.utc2_q_107
utc2_a_108	" 3. bạn bố trí đi ngày khác trong đợt sinh hoạt này nhé, kéo dài đến hết 30/08 đấy ạ."	__import__.utc2_q_108
utc2_a_109	 4. đến trước khai giảng năm học mới 2019 - 2020 bạn nhé.	__import__.utc2_q_109
utc2_a_110	 5. đúng rồi ạ	__import__.utc2_q_110
utc2_a_111	 6. lấy điểm tích lũy bạn nhé.	__import__.utc2_q_111
utc2_a_112	" 7. có bạn nhé, chú ý theo dõi thông báo hoặc lên thẳng phòng khảo thí và đảm bảo chất lượng hỏi, phòng 105 nhà c3 bạn nhé"	__import__.utc2_q_112
utc2_a_113	" 8. quy định là vậy nhưng 7 điểm thường là thấp nhất rồi, còn nếu bạn bảo vệ mà dưới 7 thường là châm chước cho qua thôi. đồ án là kết tinh của kiến thức trong suốt quá trình bạn học mà bạn làm ở mức dưới 7 thì thật là buồn phải không ạ. chúc bạn thành công ./."	__import__.utc2_q_113
utc2_a_114	" 1. 2. 3. 4. các bạn thân mế, ad có đăng kèm đường link thông báo học quốc phòng cho khóa 60 đấy ạ các bạn xem kỹ lại nhé.  về đồng phục thì chúng ta không mua và nhà trường cũng không bán, khi đi học giảng viên sẽ lưu ý các bạn mang trang phục phù hợp vì có thể thực hành với súng: bò, nằm bắn... cần áo dài tay :) lịch học thì buổi sáng từ 7h00 - 11h30 chiều 13h00 - 17h00 nhé. tài khoản sinh viên gồm tài khoản email và tài khoản đăng ký học phần,  + đối với email:  username: mã số sv@st.utc2.edu.vn pass: ngày/tháng/năm sinh + ví dụ: 601234@st.utc2.edu.vn pass: 12/01/2001 còn tài khoản đăng ký học phần do ban đào tạo cấp và pass cũng là ngày tháng năm sinh."	__import__.utc2_q_114
utc2_a_115	" 5. bạn nộp ở phòng 10 nhà d3 nhé, nhưng bằng phải chuẩn đấy ạ :)"	__import__.utc2_q_115
utc2_a_116	" 6. các lớp đăng ký từ lúc nhập học, nếu bạn có nhu cầu thì liên hệ trung tâm đào tạo thực hành chuyển giao công nghệ gtvt nhà e7 nhé."	__import__.utc2_q_116
utc2_a_117	" 7. chuyển ngành tại phân hiệu thì chỉ có các ngành khác chuyển về ngành kỹ thuật xây dựng công trình giao thông - chuyên ngành cầu đường anh thôi ạ. bạn có thể học 1 năm rồi đăng ký học cùng lúc hai ngành ạ, còn ngành bạn nói thì tại hà nội mới có thôi ạ. về bảo hiểm bạn đợi thông báo từ phòng ctct&amp;sv nhé, yên tâm không sót tiền bảo hiểm của bạn đâu ạ. bạn đăng ký thi bằng lái xe tại văn phòng đoàn trường nhé"	__import__.utc2_q_117
utc2_a_118	" 8. bạn có thể tìm kiếm thông tin trên mạng về học bổng đồng hành, hay xem lại các thông báo trên website phân hiệu về nhận hồ sơ xét học bổng này để chuẩn bị lộ trình cho mình nhé, chúc bạn thành công."	__import__.utc2_q_118
utc2_a_119	" 1. không có chuyện đó đâu ạ, mức đóng bảo vệ đồ án là chung cho hàng năm rồi, không có những khoản như vậy đâu ạ."	__import__.utc2_q_119
utc2_a_120	 2. trước khai giảng dự kiến là trung tuần tháng 9 bạn nhé.	__import__.utc2_q_120
utc2_a_121	 3. bạn làm đơn gửi phòng 10 nhà d3 nhé.	__import__.utc2_q_121
utc2_a_122	 1. và 2. inbox đi các bạn.	__import__.utc2_q_122
utc2_a_123	 3. giúp bạn ấy đi ạ	__import__.utc2_q_123
utc2_a_124	 4. giờ làm hành chính trường ta là từ thứ 2 đến thứ 6 sáng: 07h30 - 11h30 chiều: 13h30 - 17h00	__import__.utc2_q_124
utc2_a_125	 5. đăng ký đi các bạn	__import__.utc2_q_125
utc2_a_126	 5. đăng ký đi các bạn	__import__.utc2_q_126
utc2_a_127	" 1. không sao bạn yên tâm hiện hệ thống đã hoạt động trở lại, nếu bạn không đống được nữa thì liên hệ trực tiếp ban quản lý ký túc xá nhé."	__import__.utc2_q_127
